signal_type,symbol,signal_date,confidence_score,trend_ok,location_ok,pattern_ok,volume_ok,entry_price,stop_price,target_price,invalid_reason,risk_tags,factors,base_score,score,name,signal_name,quality_score,quality_bucket,pretty_ok,market_ok,market_score,market_regime,market_positive_index_count,market_up_ratio,market_limit_up_count,market_limit_down_count,market_limit_up_down_ratio,market_index_details,sector_ok,sector_score,industry_name,industry_score,concept_names,concept_scores,sector_band,filter_ok,secondary_signal_types,secondary_signal_names,secondary_signal_count
support_resistance_flip,600354,2026-03-16,95,True,True,True,True,7.929999828338623,7.369999885559082,8.342142704554966,,[],"{'flip_level': 7.37, 'recent_low': 7.369999885559082, 'breakout_date': '2026-01-30'}",118.75,123.25,敦煌种业,支撑压力互换,56.0,medium,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,41.76,种子,22.69,"['供销社概念', '农业种植', '西部大开发']","[41.76, 38.29, 33.5]",edge_high,True,[],[],0
right_shoulder,002407,2026-03-16,95,True,True,True,True,30.549999237060547,28.84,32.5,,[],"{'head_low': 27.48, 'right_low': 28.84, 'left_shoulder': 27.7, 'neckline': 32.5, 'right_low_date': '2026-03-11', 'bars_since_right_low': 3}",118.75,123.25,多氟多,顺势头肩,56.0,medium,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,41.28,基础化工,38.73,"['化工原料', '钠离子电池', '固态电池']","[41.28, 38.09, 35.7]",edge_high,True,[],[],0
support_resistance_flip,000010,2026-03-16,95,True,True,True,True,4.68,4.07,5.027142857142857,,[],"{'flip_level': 4.07, 'recent_low': 4.07, 'breakout_date': '2026-02-27'}",118.75,123.25,美丽生态,支撑压力互换,56.0,medium,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,47.13,基础建设,47.13,"['工程建设', '新型城镇化', 'PPP模式']","[43.96, 38.03, 34.55]",edge_high,True,[],[],0
strength_emergence,601916,2026-03-16,95,True,True,True,True,3.0999999046325684,2.88,3.12,,[],"{'box_low': 2.88, 'box_high': 3.12, 'midline': 3.0, 'width_pct': 0.08333333333333341, 'upper_zone_level': 3.0528, 'close_to_high_pct': 0.0064102869767409445, 'closes_above_midline': 5}",114.0,118.5,浙商银行,强势出现,56.0,medium,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,40.28,股份制银行Ⅲ,28.53,"['长期破净', '破净股', '价值股']","[40.28, 35.47, 33.52]",edge_high,True,[],[],0
strength_emergence,601169,2026-03-16,95,True,True,True,True,5.489999771118164,5.24,5.519999980926514,,[],"{'box_low': 5.24, 'box_high': 5.519999980926514, 'midline': 5.379999990463257, 'width_pct': 0.053435110863838446, 'upper_zone_level': 5.44159998626709, 'close_to_high_pct': 0.005434820636233802, 'closes_above_midline': 5}",114.0,118.5,北京银行,强势出现,56.0,medium,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,40.28,银行,29.56,"['长期破净', '破净股', '价值股']","[40.28, 35.47, 33.52]",edge_high,True,[],[],0
strength_emergence,601939,2026-03-16,95,True,True,True,True,9.180000305175781,8.52,9.199999809265137,,[],"{'box_low': 8.52, 'box_high': 9.199999809265137, 'midline': 8.859999904632568, 'width_pct': 0.07981218418604896, 'upper_zone_level': 9.009599862670898, 'close_to_high_pct': 0.0021738591852158914, 'closes_above_midline': 5}",114.0,118.5,建设银行,强势出现,56.0,medium,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,40.28,银行,29.56,"['长期破净', '破净股', '中特估']","[40.28, 35.47, 33.42]",edge_high,True,[],[],0
pattern_breakout,300750,2026-03-16,95,True,True,True,True,408.3999938964844,403.55,435.4728529575893,,[],"{'box_low': 333.01, 'box_high': 403.55, 'width_pct': 0.21182547070658544, 'breakout_pct': 0.012018322132286863, 'prior_below_box': True}",95.0,99.5,宁德时代,形态突破,56.0,medium,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,46.26,电池,46.26,"['钠离子电池', '固态电池', '锂电池概念']","[38.09, 35.7, 35.47]",edge_high,True,[],[],0
pattern_breakout,601006,2026-03-12,95,True,True,True,True,5.41,5.36,5.554285714285715,,[],"{'box_low': 4.96, 'box_high': 5.36, 'width_pct': 0.08064516129032265, 'breakout_pct': 0.00932835820895519, 'prior_below_box': True}",95.0,99.5,大秦铁路,形态突破,56.0,medium,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,40.28,铁路公路,15.45,"['长期破净', '破净股', '中特估']","[40.28, 35.47, 33.42]",edge_high,True,[],[],0
double_breakout,600703,2026-03-12,95,True,True,True,True,18.74,15.71,20.837142857142855,,[],"{'breakout_level': 17.42, 'recent_high_10': 18.74, 'volume_ratio': 2.4172010459022704, 'close_in_range': 1.0, 'prior_below_breakout': True, 'breakout_pct': 0.07577497129735916, 'prep_tight': True}",76.0,80.5,三安光电,双突破,56.0,medium,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,47.15,电子,29.29,"['最近多板', '东方财富热股', '光通信模块']","[47.15, 39.26, 34.6]",edge_high,True,[],[],0
right_shoulder,600027,2026-03-16,95,True,True,True,True,5.28000020980835,5.08,5.44,,[],"{'head_low': 4.81, 'right_low': 5.08, 'left_shoulder': 4.83, 'neckline': 5.44, 'right_low_date': '2026-03-11', 'bars_since_right_low': 3}",118.75,121.75,华电国际,顺势头肩,56.0,medium,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,34.95,公用事业,28.87,"['超超临界发电', '新能源', '风能']","[34.95, 33.95, 32.78]",edge_low,True,[],[],0
right_shoulder,601919,2026-03-16,95,True,True,True,True,16.079999923706055,15.26,16.98,,[],"{'head_low': 14.13, 'right_low': 15.26, 'left_shoulder': 14.15, 'neckline': 16.98, 'right_low_date': '2026-03-10', 'bars_since_right_low': 4}",118.75,121.75,中远海控,顺势头肩,56.0,medium,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,33.52,交通运输,22.74,"['价值股', '中特估', '海洋经济']","[33.52, 33.42, 32.78]",edge_low,True,[],[],0
support_resistance_flip,000727,2026-03-16,95,True,True,True,True,2.819999933242798,2.69,2.9149999264308386,,[],"{'flip_level': 2.73, 'recent_low': 2.69, 'breakout_date': '2026-03-10'}",118.75,121.75,冠捷科技,支撑压力互换,56.0,medium,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,36.92,面板,19.47,"['低价股', '贬值受益', '长江三角']","[36.92, 33.36, 32.15]",edge_low,False,[],[],0
