signal_type,symbol,signal_date,confidence_score,trend_ok,location_ok,pattern_ok,volume_ok,entry_price,stop_price,target_price,invalid_reason,risk_tags,factors,base_score,score,name,signal_name,quality_score,quality_bucket,pretty_ok,market_ok,market_score,market_regime,market_positive_index_count,market_up_ratio,market_limit_up_count,market_limit_down_count,market_limit_up_down_ratio,market_index_details,sector_ok,sector_score,industry_name,industry_score,concept_names,concept_scores,sector_band,filter_ok
false_breakdown,300015,2026-03-16,95,True,True,True,True,10.289999961853027,10.07,11.18,,[],"{'support': 10.12, 'breakdown_date': '2026-03-13', 'reclaim_date': '2026-03-16', 'reclaim_in_time': True, 'support_source': 'swing_low', 'volume_ratio': 16.192674158030616, 'close_in_range': 0.9473673643527581, 'break_pct': 0.004940711462450488}",85.5,90.0,爱尔眼科,假诱空,65.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,41.98,医院,41.98,"['医美概念', '养老概念', '医疗器械概念']","[41.38, 33.47, 33.42]",edge_high,True
2b_structure,300015,2026-03-16,95,True,True,True,True,10.289999961853027,10.07,11.18,,[],"{'prior_support': 10.13, 'fake_break_low': 10.07, 'breakdown_date': '2026-03-13', 'support_source': 'swing_low', 'reclaim_date': '2026-03-16', 'reclaim_in_time': True, 'volume_ratio': 16.192674158030616}",99.75,104.25,爱尔眼科,2B结构,63.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,41.98,医院,41.98,"['医美概念', '养老概念', '医疗器械概念']","[41.38, 33.47, 33.42]",edge_high,True
2b_structure,603169,2026-03-13,95,True,True,True,True,12.8,10.72,12.8,,[],"{'prior_support': 10.8, 'fake_break_low': 10.72, 'breakdown_date': '2026-03-12', 'support_source': 'swing_low', 'reclaim_date': '2026-03-13', 'reclaim_in_time': True, 'volume_ratio': 2.2263529182723416}",99.75,104.25,兰石重装,2B结构,63.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,43.9,专用设备,30.73,"['煤化工概念', '核污染防治', '超超临界发电']","[43.9, 39.32, 34.95]",edge_high,True
false_breakdown,601399,2026-03-13,95,True,True,True,True,5.0,4.690000057220459,5.35,,[],"{'support': 4.79, 'breakdown_date': '2026-03-12', 'reclaim_date': '2026-03-13', 'reclaim_in_time': True, 'support_source': 'swing_low', 'volume_ratio': 0.7127058476376449, 'close_in_range': 0.9047619047619068, 'break_pct': 0.02087681477652214}",85.5,88.5,国机重装,假诱空,63.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,38.38,专用设备,30.73,"['抽水蓄能', '超超临界发电', '核能核电']","[38.38, 34.95, 34.42]",edge_low,True
2b_structure,600408,2026-03-13,95,True,True,True,True,4.08,3.65,4.2,,[],"{'prior_support': 3.78, 'fake_break_low': 3.65, 'breakdown_date': '2026-03-12', 'support_source': 'swing_low', 'reclaim_date': '2026-03-13', 'reclaim_in_time': True, 'volume_ratio': 1.696430876908024}",99.75,103.25,安泰集团,2B结构,61.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",True,53.09,焦炭Ⅲ,53.09,"['煤化工概念', '反内卷概念', 'QFII重仓']","[43.9, 34.62, 32.97]",strong,False
2b_structure,000021,2026-03-16,95,True,True,True,True,33.1,30.26,35.97,,[],"{'prior_support': 30.58, 'fake_break_low': 30.26, 'breakdown_date': '2026-03-13', 'support_source': 'swing_low', 'reclaim_date': '2026-03-16', 'reclaim_in_time': True, 'volume_ratio': 1.3204779267826734}",99.75,102.75,深科技,2B结构,61.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,33.42,消费电子,22.15,"['医疗器械概念', '储能概念', '第三代半导体']","[33.42, 32.9, 32.0]",edge_low,True
pattern_breakout,601669,2026-03-13,95,True,True,True,True,7.19,6.54,7.7214285714285715,,[],"{'box_low': 5.44, 'box_high': 6.54, 'width_pct': 0.2022058823529411, 'breakout_pct': 0.09938837920489302, 'prior_below_box': True}",95.0,98.5,中国电建,形态突破,61.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",True,53.5,基建市政工程,53.5,"['工程建设', '长期破净', '东方财富热股']","[43.96, 40.28, 39.26]",strong,True
pattern_breakout,002594,2026-03-16,95,True,True,True,True,104.62000274658203,100.34,111.4357169015067,,[],"{'box_low': 85.88, 'box_high': 100.34, 'width_pct': 0.16837447601304156, 'breakout_pct': 0.04265500046424185, 'prior_below_box': True}",95.0,98.0,比亚迪,形态突破,61.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,35.47,乘用车,27.53,"['锂电池概念', '新能源', '刀片电池']","[35.47, 33.95, 33.6]",edge_low,False
spring,002400,2026-03-16,95,True,True,True,True,9.260000228881836,8.930000305175781,12.96,,[],"{'box_low': 9.17, 'volume_ratio': 14.470947504445583}",90.25,93.25,省广集团,箱体弹簧,60.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,32.71,传媒,14.34,"['快手概念', '小盘股', '创投']","[32.71, 32.06, 31.89]",edge_low,True
spring,002414,2026-03-16,95,True,True,True,True,14.279999732971191,13.960000038146973,18.62,,[],"{'box_low': 14.2, 'volume_ratio': 14.791195116089595}",90.25,93.25,高德红外,箱体弹簧,60.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,33.42,国防军工,14.98,"['医疗器械概念', '深股通', '2025中报预增']","[33.42, 31.59, 31.36]",edge_low,True
