signal_type,symbol,signal_date,confidence_score,trend_ok,location_ok,pattern_ok,volume_ok,entry_price,stop_price,target_price,invalid_reason,risk_tags,factors,score,name,signal_name
double_breakout,601669,2026-03-13,95,True,True,True,True,7.19,5.84,7.7214285714285715,,[],"{'breakout_level': 6.65, 'recent_high_10': 7.19, 'volume_ratio': 3.6487968787219267}",118.75,中国电建,双突破
double_breakout,300185,2026-03-13,95,True,True,True,True,4.21,3.24,4.5285714285714285,,[],"{'breakout_level': 3.59, 'recent_high_10': 4.21, 'volume_ratio': 4.445206608749034}",118.75,通裕重工,双突破
double_breakout,600227,2026-03-13,95,True,True,True,True,4.37,3.4,5.048571428571429,,[],"{'breakout_level': 4.28, 'recent_high_10': 4.37, 'volume_ratio': 2.1480330425204817}",118.75,赤天化,双突破
double_breakout,600726,2026-03-13,95,True,True,True,True,4.27,2.8,4.681428571428571,,[],"{'breakout_level': 3.88, 'recent_high_10': 4.27, 'volume_ratio': 3.5246869388620725}",118.75,华电能源,双突破
double_breakout,601868,2026-03-12,95,True,True,True,True,3.8,2.65,4.095714285714285,,[],"{'breakout_level': 3.45, 'recent_high_10': 3.8, 'volume_ratio': 4.222414399283276}",118.75,中国能建,双突破
double_breakout,601016,2026-03-12,95,True,True,True,True,4.43,3.3,4.757142857142856,,[],"{'breakout_level': 4.03, 'recent_high_10': 4.43, 'volume_ratio': 3.8129868605102684}",118.75,节能风电,双突破
double_breakout,603077,2026-03-12,95,True,True,True,True,3.33,2.74,3.7071428571428573,,[],"{'breakout_level': 3.1, 'recent_high_10': 3.33, 'volume_ratio': 1.793031823260597}",118.75,和邦生物,双突破
double_breakout,000420,2026-03-12,95,True,True,True,True,5.02,4.23,5.428571428571428,,[],"{'breakout_level': 4.83, 'recent_high_10': 5.02, 'volume_ratio': 1.2053650729662473}",118.75,吉林化纤,双突破
double_breakout,600821,2026-03-12,95,True,True,True,True,10.87,8.07,12.304285714285713,,[],"{'breakout_level': 10.41, 'recent_high_10': 10.87, 'volume_ratio': 1.9291212513123774}",118.75,金开新能,双突破
double_breakout,601618,2026-03-12,95,True,True,True,True,3.29,3.09,3.462857142857143,,[],"{'breakout_level': 3.26, 'recent_high_10': 3.31, 'volume_ratio': 1.3754161177178144}",118.75,中国中冶,双突破
double_breakout,600256,2026-03-12,95,True,True,True,True,7.63,6.46,8.544285714285714,,[],"{'breakout_level': 7.48, 'recent_high_10': 7.7, 'volume_ratio': 1.5883944121572495}",118.75,广汇能源,双突破
double_breakout,600905,2026-03-11,95,True,True,True,True,4.49,4.21,4.635714285714286,,[],"{'breakout_level': 4.4, 'recent_high_10': 4.5, 'volume_ratio': 3.236736923389726}",118.75,三峡能源,双突破
