signal_type,symbol,signal_date,confidence_score,trend_ok,location_ok,pattern_ok,volume_ok,entry_price,stop_price,target_price,invalid_reason,risk_tags,factors,score,name,signal_name
jumping_creek,600227,2026-03-13,95,True,True,True,True,4.37,3.4,5.048571428571429,,[],"{'resistance': 4.28, 'volume_ratio': 2.1480330425204817}",104.5,赤天化,跳跃小溪
jumping_creek,600726,2026-03-13,95,True,True,True,True,4.27,2.8,4.681428571428571,,[],"{'resistance': 3.88, 'volume_ratio': 3.5246869388620725}",104.5,华电能源,跳跃小溪
jumping_creek,601868,2026-03-12,95,True,True,True,True,3.8,2.65,4.095714285714285,,[],"{'resistance': 3.45, 'volume_ratio': 4.222414399283276}",104.5,中国能建,跳跃小溪
jumping_creek,601016,2026-03-12,95,True,True,True,True,4.43,3.3,4.757142857142856,,[],"{'resistance': 4.03, 'volume_ratio': 3.8129868605102684}",104.5,节能风电,跳跃小溪
jumping_creek,603077,2026-03-12,95,True,True,True,True,3.33,2.74,3.7071428571428573,,[],"{'resistance': 3.1, 'volume_ratio': 1.793031823260597}",104.5,和邦生物,跳跃小溪
jumping_creek,600821,2026-03-12,95,True,True,True,True,10.87,8.07,12.304285714285713,,[],"{'resistance': 10.41, 'volume_ratio': 1.9291212513123774}",104.5,金开新能,跳跃小溪
jumping_creek,600256,2026-03-12,95,True,True,True,True,7.63,6.46,8.544285714285714,,[],"{'resistance': 7.48, 'volume_ratio': 1.5883944121572495}",104.5,广汇能源,跳跃小溪
jumping_creek,600905,2026-03-11,95,True,True,True,True,4.49,4.21,4.635714285714286,,[],"{'resistance': 4.4, 'volume_ratio': 3.236736923389726}",104.5,三峡能源,跳跃小溪
jumping_creek,000839,2026-03-11,95,True,True,True,True,3.98,3.18,4.458571428571429,,[],"{'resistance': 3.77, 'volume_ratio': 3.064920080020541}",104.5,国安股份,跳跃小溪
strength_emergence,600905,2026-03-13,95,True,True,True,True,4.43,4.06,4.52,,[],"{'box_low': 4.06, 'box_high': 4.52, 'midline': 4.289999999999999, 'width_pct': 0.11330049261083744}",99.75,三峡能源,强势出现
strength_emergence,601618,2026-03-13,95,True,True,True,True,3.31,3.0,3.46,,[],"{'box_low': 3.0, 'box_high': 3.46, 'midline': 3.23, 'width_pct': 0.15333333333333332}",99.75,中国中冶,强势出现
strength_emergence,601668,2026-03-13,95,True,True,True,True,5.15,4.9,5.2,,[],"{'box_low': 4.9, 'box_high': 5.2, 'midline': 5.050000000000001, 'width_pct': 0.061224489795918324}",99.75,中国建筑,强势出现
strength_emergence,601985,2026-03-13,95,True,True,True,True,9.24,8.46,9.3,,[],"{'box_low': 8.46, 'box_high': 9.3, 'midline': 8.88, 'width_pct': 0.09929078014184395}",99.75,中国核电,强势出现
pattern_breakout,601669,2026-03-13,95,True,True,True,True,7.19,6.36,7.7214285714285715,,[],"{'box_low': 5.44, 'box_high': 6.36, 'width_pct': 0.1691176470588235}",95.0,中国电建,形态突破
pattern_breakout,601016,2026-03-13,95,True,True,True,True,4.42,3.8,4.8,,[],"{'box_low': 3.02, 'box_high': 3.8, 'width_pct': 0.25827814569536417}",95.0,节能风电,形态突破
pattern_breakout,601991,2026-03-13,95,True,True,True,True,4.74,4.16,5.098571428571429,,[],"{'box_low': 3.62, 'box_high': 4.16, 'width_pct': 0.14917127071823205}",95.0,大唐发电,形态突破
pattern_breakout,300185,2026-03-13,95,True,True,True,True,4.21,3.44,4.5285714285714285,,[],"{'box_low': 2.91, 'box_high': 3.44, 'width_pct': 0.1821305841924398}",95.0,通裕重工,形态突破
pattern_breakout,600930,2026-03-13,95,True,True,True,True,6.76,6.22,7.07,,[],"{'box_low': 5.88, 'box_high': 6.22, 'width_pct': 0.057823129251700654}",95.0,华电新能,形态突破
pattern_breakout,600905,2026-03-13,95,True,True,True,True,4.43,4.4,4.594285714285714,,[],"{'box_low': 4.06, 'box_high': 4.4, 'width_pct': 0.08374384236453221}",95.0,三峡能源,形态突破
pattern_breakout,002202,2026-03-13,95,True,True,True,True,31.43,30.53,35.034285714285716,,[],"{'box_low': 24.56, 'box_high': 30.53, 'width_pct': 0.24307817589576558}",95.0,金风科技,形态突破
pattern_breakout,601985,2026-03-13,95,True,True,True,True,9.24,9.07,9.584285714285715,,[],"{'box_low': 8.46, 'box_high': 9.07, 'width_pct': 0.07210401891252947}",95.0,中国核电,形态突破
n_breakout,601669,2026-03-13,95,True,True,True,True,7.19,5.84,7.7214285714285715,,[],"{'first_break_date': '2026-03-06', 'pullback_low': 5.84, 'prior_high': 7.19}",90.25,中国电建,N字突破
n_breakout,600227,2026-03-13,95,True,True,True,True,4.37,2.83,5.048571428571429,,[],"{'first_break_date': '2026-02-25', 'pullback_low': 2.83, 'prior_high': 4.37}",90.25,赤天化,N字突破
selling_climax,002429,2026-03-13,95,True,True,True,True,11.94,10.16,10.498999999999999,,[],"{'climax_date': '2026-03-11', 'volume_ratio': 1.9555182449432245, 'drawdown_from_high_60': 0.13757039420756223}",90.25,兆驰股份,抛售高潮
n_breakout,600726,2026-03-13,95,True,True,True,True,4.27,2.62,4.681428571428571,,[],"{'first_break_date': '2026-02-24', 'pullback_low': 2.62, 'prior_high': 4.27}",90.25,华电能源,N字突破
selling_climax,002202,2026-03-12,95,True,True,True,True,31.29,29.15,27.543,,[],"{'climax_date': '2026-03-12', 'volume_ratio': 1.9144524729766006, 'drawdown_from_high_60': 0.15500945179584125}",90.25,金风科技,抛售高潮
first_rebound_after_crash,600759,2026-03-11,95,True,True,True,True,7.56,7.49,8.24,,[],"{'crash_date': '2026-03-10', 'crash_drop_pct': -0.09975961538461539}",85.5,洲际油气,急跌首次反弹
